ClassID,Level,ClassName,Boss_UseZone,Journal,SET
400001,1,Onion,,Onion,Onion
400002,2,Onion_Big,,Onion_Big,Onion_Big
400003,12,Onion_Red,,Onion_Red,Onion_Red
400005,9,Onion_green,,Onion_green,Onion_green
400021,55,Haming,,Haming,Haming
400041,4,Bokchoy,,Bokchoy,Bokchoy
400042,4,Bokchoy_Big,,Bokchoy_Big,Bokchoy_Big
400061,12,Jukopus,,Jukopus,Jukopus
400062,4,Jukopus_blue,,Jukopus_blue,Jukopus_blue
400063,184,Jukopus_gray,,Jukopus_gray,Jukopus_gray
400081,84,arburn_pokubu,,arburn_pokubu,Arburn_pokubu
400082,1,arburn_pokubu_beige,,arburn_pokubu_beige,Arburn_pokubu_beige
400083,173,arburn_pokubu_blue,,arburn_pokubu_blue,Arburn_pokubu_blue
400084,113,arburn_pokubu_green,,arburn_pokubu_green,Arburn_pokubu_green
400085,75,pokubu_mother,,pokubu_mother,arburn_pokubu_katyn7_2
400101,33,banshee,,banshee,Banshee
400102,51,Banshee_pink,,Banshee_pink,Banshee_pink
400103,165,banshee_purple,,banshee_purple,Banshee_purple
400104,1,monster_loftlem,,,Banshee_yellow
400121,1,Barricade_honeycomb,,,Barricade_honeycomb
400122,1,Barricade_honeycomb_blue,,,Barricade_honeycomb_blue
400123,1,barricade_honeycomb_gray,,,Barricade_honeycomb_gray
400124,1,barricade_honeycomb_red,,,Barricade_honeycomb_red
400141,107,bushspider,,bushspider,Bushspider
400142,1,Bushspider_purple,,Bushspider_purple,Bushspider_purple
400143,1,bushspider_red,,bushspider_red,Bushspider_red
400144,1,bushspider_white,,bushspider_white,Bushspider_white
400145,1,bushspider_yellow,,bushspider_yellow,Bushspider_yellow
400161,1,boss_dionia,,boss_dionia,Dionia
400162,1,dionia_mini,,,Dionia_mini
400181,62,flower_blue,,flower_blue,Flower
400182,1,flower_purple,,flower_purple,Flower_purple
400183,1,flower_red,,flower_red,Flower_red
400201,9,boss_Goblin_Warrior,f_siauliai_2,Goblin_Warrior,boss_Goblin_warrior
400202,76,boss_Goblin_Warrior_blue,,Goblin_Warrior_blue,Goblinwarrior_red
400203,11,boss_Goblin_Warrior_red,f_siauliai_out,Goblin_Warrior_blue,boss_Goblin_warrior_red
400204,1,GoblinWarrior_red,,,Goblinwarrior_red
400207,28,GoblinWarrior_blue,,GoblinWarrior_blue,Goblinwarrior_blue
400209,23,GoblinWarrior,,GoblinWarrior,Goblinwarrior
450221,3,boss_Golem,f_siauliai_west,boss_Golem,Golem
450222,109,boss_Golem_gray,f_katyn_7_2,boss_Golem_gray,Golem_gray
450225,1,Golem_NoTex,,Golem_NoTex,Golem_NoTex
400241,66,jellyfish,,jellyfish,Jellyfish
400242,63,jellyfish_blue,,jellyfish_blue,Jellyfish_blue
400243,255,jellyfish_green,,jellyfish_green,Jellyfish_green
400244,111,jellyfish_red,,jellyfish_red,Jellyfish_red
400245,1,jellyfish_larva,,,Jellyfish
400261,1,boss_ellaganos,,boss_ellaganos,Zombieboss
400281,115,honey_bee,,honey_bee,Katyn_bug
400301,64,puragi,,puragi,Katynforest_zombie_01
400302,114,puragi_blue,,puragi_blue,Katynforest_zombie_01_blue
400303,32,puragi_green,,puragi_green,Katynforest_zombie_01_green
400304,250,puragi_red,,puragi_red,Katynforest_zombie_01_red
400305,1,elite_puragi_blue,,,Katynforest_zombie_01_blue
400321,61,zigri,,zigri,Katynforest_zombie_02
400322,34,zigri_brown,,zigri_brown,Katynforest_zombie_02_brown
400323,54,zigri_purple,,zigri_purple,Katynforest_zombie_02_purple
400324,166,zigri_red,,zigri_red,Katynforest_zombie_02_red
400341,108,Fisherman,,Fisherman,Katynforest_zombie_03
400342,256,Fisherman_blue,,Fisherman_blue,Katynforest_zombie_03_blue
400343,71,Fisherman_green,,Fisherman_green,Katynforest_zombie_03_green
400344,117,Fisherman_red,,Fisherman_red,Katynforest_zombie_03_red
400361,189,Lantern_mushroom,,Lantern_mushroom,Lantern_mushroom
400362,1,Lantern_mushroom_Big,,,Lantern_mushroom_Big
400377,1,Lantern_mushroom_mini,,,Lantern_mushroom_q
400381,65,Matsum,,Matsum,Matsum
400382,1,Matsum_Big,,,Matsum_Big
400401,22,boss_mirtis,d_cmine_6,boss_mirtis,Mirtis
400402,1,boss_mirtis_mid,,boss_mirtis_mid,Mirtis
400421,64,boss_molich,d_thorn_21,boss_molich,Molich
400441,66,mushroom_boy,,mushroom_boy,Mushroom_boy
400442,165,Mushroom_boy_green,,Mushroom_boy_green,Mushroom_boy_green
400443,70,Mushroom_boy_red,,Mushroom_boy_red,Mushroom_boy_red
400444,253,Mushroom_boy_yellow,,Mushroom_boy_yellow,Mushroom_boy_yellow
400445,1,Mushroom_boy_red_elt,,Mushroom_boy_red_elt,Mushroom_boy_red
400461,70,mushroom_ent,,mushroom_ent,Mushroom_boy_Big
400462,116,mushroom_ent_blue,,mushroom_ent_blue,Mushroom_boy_blue_Big
400463,163,mushroom_ent_green,,mushroom_ent_green,Mushroom_boy_green_Big
400464,225,mushroom_ent_red,,mushroom_ent_red,Mushroom_boy_red_Big
400481,107,pappus_kepa,,pappus_kepa_yellow,Pappus_kepa
400482,5,pappus_kepa_beige,,pappus_kepa_beige,Pappus_kepa_beige
400483,251,pappus_kepa_purple,,pappus_kepa_red2,Pappus_kepa_purple
400484,74,pappus_kepa_red,,pappus_kepa_red2,Pappus_kepa_red
400485,1,pappus_kepa_elt,,pappus_kepa_elt,Pappus_kepa
400501,1,rafflesia,,rafflesia,Rafflesia
400502,223,rafflesia_green,,rafflesia_green,Rafflesia_green
400503,74,rafflesia_purple,,rafflesia_purple,Rafflesia_purple
400504,1,rafflesia_red,,rafflesia_red,Rafflesia_red
400521,38,raffly,,raffly,Raffly
400522,1,raffly_blue,,raffly_blue,Raffly_blue
400523,1,raffly_gray,,raffly_gray,Raffly_gray
400524,1,raffly_purple,,raffly_purple,Raffly_purple
400541,109,Ridimed,,Ridimed,Ridimed
400542,249,Ridimed_blue,,Ridimed_blue,Ridimed_blue
400543,71,Ridimed_purple,,Ridimed_purple,Ridimed_purple
400544,1,Ridimed_red,,Ridimed_red,Ridimed_red
400561,110,Sakmoli,,Sakmoli,Sakmoli
400562,1,Sakmoli_green,,Sakmoli_green,Sakmoli_green
400563,70,Sakmoli_orange,,Sakmoli_orange,Sakmoli_orange
400564,254,Sakmoli_purple,,Sakmoli_purple,Sakmoli_purple
400661,61,boss_spector_gh,d_thorn_20,boss_spector_gh,Spector_gh
400662,50,Spector_Gh,,Spector_Gh,Spector_gh_green
400663,1,Spector_gh_purple,,Spector_gh_purple,Spector_gh_purple
400681,1,spector_F,,spector_F,Spector_f
400682,189,spector_F_purple,,spector_F_purple,Spector_f_yellow
400683,1,elite_spector_F,,elite_spector_F,Spector_f
400684,18,boss_Spector_F,d_cmine_01,boss_Spector_F,Spector_f_boss
400685,1,Spector_green,,Spector_green,Spector_gh_green
400701,1,spector_m,,spector_m,Spector_m
400702,1,spector_m_green,,spector_m_green,Spector_m_green
400703,20,boss_Spector_m,d_cmine_01,boss_Spector_m,Spector_m_boss
400721,58,thornball,,thornball,thornball
400724,1,thornball_Big,,thornball_Big,thornball_1
400741,121,boss_woodspirit,f_siauliai_11_re,boss_woodspirit,Wood_spirit
400742,49,boss_woodspirit_blue,f_huevillage_58_2,boss_woodspirit_blue,Wood_spirit_blue
400743,112,boss_woodspirit_green,f_katyn_13,boss_woodspirit_green,Wood_spirit_green
400761,150,Woodman,,Woodman,Woodman
400762,1,Woodman_blue,,Woodman_blue,Woodman_blue
400763,1,Woodman_gray,,Woodman_gray,Woodman_gray
400764,1,Woodman_red,,Woodman_red,Woodman_red
400781,188,slime_dark,,slime_dark,Slime_dark
400801,94,schlesien_claw,,schlesien_claw,schlesien_claw
400821,93,schlesien_darkmage,,schlesien_darkmage,schlesien_darkmage
400841,91,schlesien_guard,,schlesien_guard,schlesien_guard
400842,73,schlesien_guard_NPC,,,schlesien_guard
400861,94,schlesien_heavycavarly,,schlesien_heavycavarly,schlesien_heavycavarly
400881,59,truffle,,truffle,truffle
400882,1,truffle_Big,,,truffle_Big
400901,64,boss_bramble,d_thorn_21,boss_bramble,bramble
400902,1,bramble_mini,,,bramble_s
400921,1,treemonster,,,treemonster
400922,1,treemonster_Big,,,treemonster_Big
400941,3,Hanaming,,Hanaming,Hanaming
400961,6,Chupacabra_Blue,,Chupacabra_Blue,Chupacabra_Blue
400963,1,Chupacabra_Gray,,Chupacabra_Gray,Chupacabra_Gray
400964,7,Chupacabra_Gray_Elite,,Chupacabra_Gray,Chupacabra_Gray
400965,6,Chupacabra_Ibory,,Chupacabra_Ibory,Chupacabra_Ibory
400981,7,Popolion_Blue,,Popolion_Blue,Popolion_blue
400984,85,Popolion_Orange,,Popolion_Orange,Popolion_orange
400985,1,Popolion_Ivory,,Popolion_Ivory,Popolion_ivory
401001,67,Sauga_s,,Sauga_s,Sauga_s
401004,1,Sauga_BIG,,,Sauga_s
401021,1,Scorpion,,,Scorpion
401041,78,Tontulia,,Tontulia,Tontulia
401061,58,Tontus,,Tontus,Tontus
401081,84,Beetle,,Beetle,Beetle
401101,59,Geppetto,,Geppetto,Geppetto
401121,83,Moving_trap,,Moving_trap,Moving_trap
401141,17,boss_bearkaras,d_cmine_01,boss_bearkaras,General_bear
401181,60,Pino,,Pino,Pino
401201,182,Siauliai_beetle,,Siauliai_beetle,Siauliai_beetle
